Код товара;Наименование;Ед. изм;Цена за шт/м (руб)
1603;Баллон цилиндрический АГ-50 (300*796) НГЗА;шт;7500
1845;Баллон тороидальный АГТ-42 БАЖ;шт;7000
1419;Баллон тороидальный АГТ-42 НГЗА;шт;7000
2044;Баллон тороидальный АГТ-49 (630×200) НГЗА;шт;9000
2044;Баллон тороидальный АГТ-54/1(630×200) НГЗА;шт;9000
31;ВЗУ ATIKER подвесное;шт;700
2562;ВЗУ ATIKER подвесное для термопласт. Трубки;шт;800
2059;ВЗУ ATIKER в люк бензобака длинное;шт;800
2563;ВЗУ ATIKER в люк для термопластиковой трубки;шт;800
2059;ВЗУ TOMASETTO в люк бензобака для термопласт. трубки;шт;1300
2677;Вентиль мультиклапана TOMASETTO;шт;450
2297;Датчик MAP AEB MP025;шт;1300
402;Датчик MAP PS-02;шт;800
2002;Датчик температуры редуктора Zavoli Plus резьба М6;шт;800
605;Датчик температуры редуктора впрыск СО ШТЕКЕРОМ;шт;400
605;Датчик температуры редуктора впрыск БЕЗ ШТЕКЕРА;шт;300
1894;Клапан бензина LOVATO;шт;800
1894;Клапан газа LOVATO;шт;900
2696;Кольцо резиновое под фильтр ULTRA 360;шт;100
2586;Кольцо резиновое штока рейки VALTEK , оригинал;шт;100
2338;Комплект электроники DIGITRONIC 3D  4ц китай;шт;6000
2109;Комплект электроники LOVATO 4ц;шт;8000
1809;КИТ STAG 200 GO FAST 4ц оригинал(элекроника,ред,форс);шт;18000
1972;Мультиклапан ATIKER 315-30;шт;1500
2063;Мультиклапан ATIKER 400-30;шт;1500
1950;Переключатель DIGITRONIC  MAXI2 ?Stag GO Fast впрыск, китай;шт;550
1680;Рампа AEB 4х оригинал;шт;5600
2165;Рампа DIGITRONIC 4ц китай;шт;1300
2160;Рампа VALTEK 2 ом 4ц ,китай;шт;1300
1085;Редуктор LOVATO RGJ 3.2  впрыск оригинал ;шт;8000
1816;Редуктор LOVATO электронный китай;шт;3000
1392;Редуктор OMVL CPR (110 КВТ)(клапан газа +дтр)Газель Бизнес Штатный оригинал италия;шт;7000
1921;Редуктор TOMASETTO Nordic оригинал Италия;шт;4500
2692;Редуктор TOMASETTO Nordic (латунные штуцера);шт;3000
706;Редуктор TOMASETTO Nordic XP AT09;шт;6000
956;Ремкомплект редуктора TOMASETTO Nordic;шт;1500
2259;Стяжки пластиковые 5×500 (100шт);шт;10
1393;Тройник тосольный 19/16/19 ATIKER;шт;150
602;Трубка медная 8 мм;м;450
2576;Трубка стальная универсальная D6;м;100
1566;Трубка термопластиковая EUROPEPLAST D6 мм.;м;250
2354;Фильтр датчика давления LOVATO СЕТКА;шт;300
1932;Фильтр ТОНКОЙ ОЧИСТКИ Yota ULTRA 360;шт;600
1801;Фильтр клапана газа редуктора EMER;шт;250
1021;Фильтр паровой фазы 12/12;шт;100
2650;Фильтр паровой фазы 12/12 усиленный;шт;250
461;Фильтр паровой фазы 12/12/12;шт;350
95;Фильтр редуктора TOMASETTO впрыск;шт;50
1455;Фитинг под пластиковую трубку D8 90°;шт;200
1883;Шланг DGI 11 мм газовый;м;400
1865;Шланг вакуумный 4 мм (бухта 50 м);м;200
2615;Шланг газовый 11 ММ  Fagumit ОРИГИНАЛ;м;350
1865;Шланг вакуумный 5 мм (бухта 50 м);м;200
2400;Шланг силиконовый 16 мм синий;м;350
2615;Шланг ФАГУМИТ 16 мм китай;м;250
